Item #,Ref Designator,Qty.,Manufacturer,Mfr Part Number,Description,Package
1,,1,Texas Instruments,DAC8168IAPWR,14-Bit 8-Ch Digital-to-Analog Converter,TSSOP-14
2,,2,Microchip,MCP6004-I/SL,Quad Rail-to-Rail Op Amp,SOIC-14
